Track name,Artist name,Album,Playlist name,Type,ISRC,Qobuz - id
"People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition)","A Tribe Called Quest","People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition)","Favorites Albums","Album","0196873025063","qb52lmk8tus2a"
"Midnight Marauders","A Tribe Called Quest","Midnight Marauders","Favorites Albums","Album","0012414149022","0012414149022"
"The Low End Theory","A Tribe Called Quest","The Low End Theory","Favorites Albums","Album","0012414141828","0012414141828"
"Jazzmatazz Volume 1","Guru","Jazzmatazz Volume 1","Favorites Albums","Album","0094632199850","0094632199850"
"Illmatic","Nas","Illmatic","Favorites Albums","Album","0886444072496","0886444072496"
"The College Dropout","Kanye West","The College Dropout","Favorites Albums","Album","0602567922186","dwqkb21o9tz5b"
"Graduation","Kanye West","Graduation","Favorites Albums","Album","0602577027864","xke579b9u7mmc"
"good kid, m.A.A.d city (Deluxe Edition)","Kendrick Lamar","good kid, m.A.A.d city (Deluxe Edition)","Favorites Albums","Album","0060253743943","0060253743943"
"Everything's Beautiful","Miles Davis","Everything's Beautiful","Favorites Albums","Album","0886445961737","uqznkb9b270ac"
"Doggystyle","Snoop Dogg","Doggystyle","Favorites Albums","Album","0659783313694","hzfkpyl8u2p5a"
"CARE FOR ME","Saba","CARE FOR ME","Favorites Albums","Album","0198588683668","bsb2odsosp8ic"
"From The Private Collection of Saba and No ID","Saba","From The Private Collection of Saba and No ID","Favorites Albums","Album","0199066398463","aecw1ky0eyx4a"
"Cherry Bomb","Tyler, The Creator","Cherry Bomb","Favorites Albums","Album","0886445172423","0886445172423"
"CALL ME IF YOU GET LOST","Tyler, The Creator","CALL ME IF YOU GET LOST","Favorites Albums","Album","0886449308521","qriw7fu7e19lb"
"Flower Boy","Tyler, The Creator","Flower Boy","Favorites Albums","Album","0886446626635","0886446626635"
"CHROMAKOPIA","Tyler, The Creator","CHROMAKOPIA","Favorites Albums","Album","0196872555059","e4323esbfroqb"
"IGOR","Tyler, The Creator","IGOR","Favorites Albums","Album","0886447710180","qtz65tw2of0ha"
"Buhloone Mindstate","De La Soul","Buhloone Mindstate","Favorites Albums","Album","0810098503112","pxxxobr6j4iab"
"Blowout Comb","Digable Planets","Blowout Comb","Favorites Albums","Album","0724383065455","0724383065455"
"Reachin' (A New Refutation Of Time And Space)","Digable Planets","Reachin' (A New Refutation Of Time And Space)","Favorites Albums","Album","0724382775850","0724382775850"
"Bizarre Ride II The Pharcyde","The Pharcyde","Bizarre Ride II The Pharcyde","Favorites Albums","Album","0066991040005","0066991040005"
"Labcabincalifornia","The Pharcyde","Labcabincalifornia","Favorites Albums","Album","0066991039745","0066991039745"
"Nuova Napoli","Nu Genea","Nuova Napoli","Favorites Albums","Album","3760179354508","ki2rf1lrsolla"
"Bar Mediterraneo","Nu Genea","Bar Mediterraneo","Favorites Albums","Album","8053307091778","dqoztehx0ycdc"
"Faces","Mac Miller","Faces","Favorites Albums","Album","0093624879787","lorwwcx1gxq1a"
"GO:OD AM","Mac Miller","GO:OD AM","Favorites Albums","Album","0093624924395","0093624924395"
"K.I.D.S.","Mac Miller","K.I.D.S.","Favorites Albums","Album","0192641536007","kwd1a49ca44da"
"The Divine Feminine","Mac Miller","The Divine Feminine","Favorites Albums","Album","0093624918844","0093624918844"
"Circles ","Mac Miller","Circles ","Favorites Albums","Album","0093624905967","u38frhrebzkxb"
"Balloonerism","Mac Miller","Balloonerism","Favorites Albums","Album","0093624834786","mvnjredsz1t8b"
"Swimming","Mac Miller","Swimming","Favorites Albums","Album","0093624905899","tvoqpl1jnfpsb"
"2001","Dr. Dre","2001","Favorites Albums","Album","0060251764126","0060251764126"
"To Pimp A Butterfly","Kendrick Lamar","To Pimp A Butterfly","Favorites Albums","Album","0060254728992","0060254728992"
"Aqualung ","Jethro Tull","Aqualung ","Favorites Albums","Album","0825646125166","0825646125166"
"Jazz Samba","Stan Getz","Jazz Samba","Favorites Albums","Album","0602567832171","ihtdq5lp66tob"
"Off The Wall","Michael Jackson","Off The Wall","Favorites Albums","Album","0074643574525","0074643574525"
"Santana (III)","Santana","Santana (III)","Favorites Albums","Album","0886444593212","0886444593212"
"What's Going On","Marvin Gaye","What's Going On","Favorites Albums","Album","0060253780989","0060253780989"
"The Chronic","Dr. Dre","The Chronic","Favorites Albums","Album","0602455222664","r3x77ee4fm9jc"
"Innervisions","Stevie Wonder","Innervisions","Favorites Albums","Album","0060253707080","0060253707080"
"Black On Both Sides","Mos Def","Black On Both Sides","Favorites Albums","Album","0000881129052","0000881129052"
"Do You Want More?!!!??! (Deluxe Version - Explicit)","The Roots","Do You Want More?!!!??! (Deluxe Version - Explicit)","Favorites Albums","Album","0602435543215","l8o5chx3a3qoa"
"The Source ","Ali Farka Touré","The Source ","Favorites Albums","Album","3615930969241","wfap8rk877muc"
"3 Feet High and Rising","De La Soul","3 Feet High and Rising","Favorites Albums","Album","0810098502627","natmkfp1w7oxb"
"The Dark Side Of The Moon (50th Anniversary) ","Pink Floyd","The Dark Side Of The Moon (50th Anniversary) ","Favorites Albums","Album","0196589805232","es45w03nwb5eb"
"The Dark Side Of The Moon  ","Pink Floyd","The Dark Side Of The Moon  ","Favorites Albums","Album","0196589557414","irnjt2kwguvxa"
"Live!","Bob Marley & The Wailers","Live!","Favorites Albums","Album","0060255725426","0060255725426"
"Uprising","Bob Marley & The Wailers","Uprising","Favorites Albums","Album","0602547235251","zrcuw69by5uyb"
"Confrontation","Bob Marley & The Wailers","Confrontation","Favorites Albums","Album","0073145489032","0073145489032"
"Survival","Bob Marley & The Wailers","Survival","Favorites Albums","Album","0073145489012","0073145489012"
"Kaya","Bob Marley & The Wailers","Kaya","Favorites Albums","Album","0060253729859","0060253729859"
"Exodus","Bob Marley & The Wailers","Exodus","Favorites Albums","Album","0602445922659","jaxoeaphwc1zb"
"Monk's Dream","Thelonious Monk","Monk's Dream","Favorites Albums","Album","5056321625052","qryabzdwxzr2a"
"Little Girl Blue ","Nina Simone","Little Girl Blue ","Favorites Albums","Album","4050538685794","a7s3ipy1b5cwb"
